"start_time","end_time","sla_type","sla_name","task_number","duration","stage"
"2018-09-14 16:42:12","2018-09-15 20:14:56","SLA","Base-RequestedItem-3: 8hrs","TASK0355507","3432","Achieved"
"2018-09-15 20:04:22","2018-09-15 20:08:02","SLA","Base-RequestedItem-2: 4hrs","TASK0355539","220","Achieved"
"2018-09-14 17:12:17","2018-09-15 20:04:04","SLA","Base-RequestedItem-3: 8hrs","TASK0355516","1407","Achieved"
"2018-09-04 04:51:03","2018-09-15 19:07:39","SLA","Base-RequestedItem-3: 8hrs","TASK0353011","3161","Achieved"
"2018-08-20 17:11:52","2018-09-15 09:59:57","SLA","Base-INC-Resolve-3","INC0462123","1299","Achieved"
"2018-09-14 17:13:47","2018-09-14 19:19:40","SLA","Base-RequestedItem-3: 8hrs","TASK0355519","7553","Achieved"
"2018-09-14 17:16:19","2018-09-14 19:16:26","SLA","Base-RequestedItem-3: 8hrs","TASK0355522","7207","Achieved"
"2018-09-14 17:54:57","2018-09-14 18:05:49","SLA","Base-RequestedItem-2: 4hrs","TASK0355528","652","Achieved"
"2018-09-14 17:43:55","2018-09-14 18:02:38","SLA","Base-RequestedItem-3: 8hrs","TASK0355527","1123","Achieved"
"2018-09-14 17:16:19","2018-09-14 17:59:39","SLA","Base-RequestedItem-2: 4hrs","TASK0355524","2600","Achieved"
"2018-09-14 17:16:19","2018-09-14 17:57:20","SLA","Base-RequestedItem-2: 4hrs","TASK0355521","2461","Achieved"
"2018-09-14 17:13:47","2018-09-14 17:55:04","SLA","Base-RequestedItem-2: 4hrs","TASK0355517","2477","Achieved"
"2018-09-14 17:13:47","2018-09-14 17:50:52","SLA","Base-RequestedItem-2: 4hrs","TASK0355518","2225","Achieved"
"2018-09-13 09:46:37","2018-09-14 17:35:47","SLA","Base-INC-Resolve-3","INC0472106","3509","Achieved"
"2018-09-14 16:56:44","2018-09-14 17:19:20","SLA","Base-RequestedItem-2: 4hrs","TASK0355513","1356","Achieved"
"2018-09-13 13:32:08","2018-09-14 17:01:05","SLA","Base-RequestedItem-3: 8hrs","TASK0355192","2164","Achieved"
"2018-09-13 13:32:07","2018-09-14 17:00:58","SLA","Base-RequestedItem-3: 8hrs","TASK0355191","2166","Achieved"
"2018-09-14 12:07:39","2018-09-14 16:56:22","SLA","Base-RequestedItem-3: 8hrs","TASK0355438","1325","Achieved"
"2018-09-14 09:43:17","2018-09-14 16:53:20","SLA","Base-RequestedItem-3: 8hrs","TASK0355390","768","Achieved"
"2018-09-14 15:52:25","2018-09-14 16:47:54","SLA","Base-RequestedItem-2: 4hrs","TASK0355499","3329","Achieved"
"2018-09-14 10:07:34","2018-09-14 16:46:47","SLA","Base-RequestedItem-3: 8hrs","TASK0355397","5098","Achieved"
"2018-09-14 10:13:36","2018-09-14 16:38:00","SLA","Base-RequestedItem-3: 8hrs","TASK0355400","6379","Achieved"
"2018-09-14 09:52:25","2018-09-14 16:34:55","SLA","Base-RequestedItem-3: 8hrs","TASK0355392","400","Achieved"
"2018-09-11 14:39:06","2018-09-14 16:32:06","SLA","Base-INC-Resolve-3","INC0471026","380","Achieved"
"2018-09-12 08:48:23","2018-09-14 16:26:03","SLA","Base-INC-Resolve-3","INC0471387","2521","Achieved"
"2018-09-14 15:14:24","2018-09-14 16:21:23","SLA","Base-RequestedItem-2: 4hrs","TASK0355487","4019","Achieved"
"2018-09-14 15:15:24","2018-09-14 16:20:03","SLA","Base-RequestedItem-2: 4hrs","TASK0355489","3879","Achieved"
"2018-09-14 15:13:54","2018-09-14 16:18:50","SLA","Base-RequestedItem-2: 4hrs","TASK0355486","3896","Achieved"
"2018-09-14 15:12:55","2018-09-14 16:17:38","SLA","Base-RequestedItem-2: 4hrs","TASK0355484","3883","Achieved"
"2018-09-14 15:26:26","2018-09-14 16:16:22","SLA","Base-RequestedItem-2: 4hrs","TASK0355492","2996","Achieved"
"2018-09-14 15:12:23","2018-09-14 16:15:21","SLA","Base-RequestedItem-2: 4hrs","TASK0355483","3778","Achieved"
"2018-09-14 15:14:54","2018-09-14 16:13:57","SLA","Base-RequestedItem-2: 4hrs","TASK0355488","3543","Achieved"
"2018-09-13 08:36:42","2018-09-14 16:05:16","SLA","Base-INC-Resolve-3","INC0471396","17351","Achieved"
"2018-09-14 15:43:42","2018-09-14 15:52:31","SLA","Base-INC-Resolve-3","INC0473246","529","Achieved"
"2018-09-14 15:43:42","2018-09-14 15:49:17","SLA","Base-INC-Respond-3","INC0473246","335","Achieved"
"2018-09-06 11:16:50","2018-09-14 15:34:49","SLA","Base-INC-Resolve-3","INC0469567","390","Achieved"
"2018-09-14 10:36:51","2018-09-14 15:32:53","SLA","Base-INC-Resolve-3","INC0472428","1095","Achieved"
"2018-09-14 11:03:00","2018-09-14 15:32:08","SLA","Base-INC-Resolve-3","INC0473059","6433","Achieved"
"2018-09-13 16:08:37","2018-09-14 15:05:15","SLA","Base-INC-Resolve-3","INC0472430","990","Achieved"
